year,geography,metric,unit,vector,value,decimals
1998,"Trois-Rivières, Quebec",Percent change in non-violent weighted clearance rate,Percent,v53079491,,2
1998,"Montréal, Quebec",Crime severity index,Index,v44312539,139.0,2
1998,"Montréal, Quebec",Violent crime severity index,Index,v44312541,133.93,2
1998,"Montréal, Quebec",Non-violent crime severity index,Index,v44312543,140.95,2
1998,"Montréal, Quebec",Youth crime severity index,Index,v53079501,,2
1998,"Montréal, Quebec",Youth violent crime severity index,Index,v53079502,,2
1998,"Montréal, Quebec",Youth non-violent crime severity index,Index,v53079494,,2
1998,"Montréal, Quebec",Weighted clearance rate,Number,v53079495,25.83,2
1998,"Montréal, Quebec",Violent weighted clearance rate,Number,v53079497,46.39,2
1998,"Montréal, Quebec",Non-violent weighted clearance rate,Number,v53079499,18.32,2
1998,"Montréal, Quebec",Percent change in non-violent weighted clearance rate,Percent,v53079500,,2
1998,"Ottawa-Gatineau, Quebec part",Crime severity index,Index,v44312545,103.11,2
1998,"Ottawa-Gatineau, Quebec part",Violent crime severity index,Index,v44312547,69.7,2
1998,"Ottawa-Gatineau, Quebec part",Non-violent crime severity index,Index,v44312549,115.96,2
1998,"Ottawa-Gatineau, Quebec part",Youth crime severity index,Index,v53079510,,2
1998,"Ottawa-Gatineau, Quebec part",Youth violent crime severity index,Index,v53079511,,2
1998,"Ottawa-Gatineau, Quebec part",Youth non-violent crime severity index,Index,v53079503,,2
1998,"Ottawa-Gatineau, Quebec part",Weighted clearance rate,Number,v53079504,34.12,2
1998,"Ottawa-Gatineau, Quebec part",Violent weighted clearance rate,Number,v53079506,66.83,2
1998,"Ottawa-Gatineau, Quebec part",Non-violent weighted clearance rate,Number,v53079508,26.56,2
1998,"Ottawa-Gatineau, Quebec part",Percent change in non-violent weighted clearance rate,Percent,v53079509,,2
1998,Ontario,Crime severity index,Index,v44312551,100.72,2
1998,Ontario,Violent crime severity index,Index,v44312553,84.54,2
1998,Ontario,Non-violent crime severity index,Index,v44312555,106.94,2
1998,Ontario,Youth crime severity index,Index,v53079521,95.43,2
1998,Ontario,Youth violent crime severity index,Index,v53079523,83.17,2
1998,Ontario,Youth non-violent crime severity index,Index,v53079513,104.77,2
1998,Ontario,Weighted clearance rate,Number,v53079515,35.79,2
1998,Ontario,Violent weighted clearance rate,Number,v53079517,56.74,2
1998,Ontario,Non-violent weighted clearance rate,Number,v53079519,29.43,2
1998,Ontario,Percent change in non-violent weighted clearance rate,Percent,v53079520,,2
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Crime severity index,Index,v44312557,111.15,2
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Violent crime severity index,Index,v44312559,93.19,2
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Non-violent crime severity index,Index,v44312561,118.06,2
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Youth crime severity index,Index,v53079531,,2
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Youth violent crime severity index,Index,v53079532,,2
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Youth non-violent crime severity index,Index,v53079524,,2
